epoch;training_accuracy
1;0.92218781108284
2;0.92910076318991
3;0.94016148656122
4;0.96090034288242
5;0.96366552372525
6;0.96366552372525
7;0.97057847583232
8;0.97749142793939
9;0.99408251299635
10;1.0009954651034
11;1.0079084172105
12;1.0120561884747
13;1.0189691405818
14;1.0300298639531
15;1.0327950447959
16;1.0410905873244
17;1.0604468532242
